Number,Complex,Tradition,Start Date,End Date,Unnamed_ 6,Unnamed_ 7,Unnamed_ 8,Unnamed_ 9,Unnamed_ 1,Unnamed__1,Unnamed__2,proj_x,proj_y
6,Apostadero,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,81131.7354625250,815677.5202331138
8,Aristé antigo,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,"16, 75",1145178.8869001204,215036.0124382108
8,Aristé antigo,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,1017782.7373167675,436113.4316552638
13,Barbakoba,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,868415.4675036924,495258.8191341118
32,Globular,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,594639.8518840920,-139262.0853719755
32,Globular,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,514268.8299754032,-104234.2345349878
34,Hertenrits,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,572285.3013527414,535454.7135372130
37,Ipavi - Xinguano,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,897749.0954976154,-1144159.4454494882
46,Konduri,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,587088.0618360750,-248939.4543861497
46,Konduri,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,673281.5144209312,-169696.1197057516
46,Konduri,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,649699.8269478002,-216208.5118007679
47,Koriabo,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,1052192.7583763148,199531.8817398720
47,Koriabo,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,918473.4961508206,-148449.7183783984
47,Koriabo,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,1013745.9266613342,-184051.7962782874
47,Koriabo,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,446694.2041335968,511911.4039582540
47,Koriabo,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,1038202.9116729180,-312678.6583682092
48,Kwata,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,692108.1739315748,561869.1584306790
62,Monte Alegre / Pariçó,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,839773.8444970970,-185774.4774669918
90,Santarém,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,608378.8842604562,-197259.0187250205
90,Santarém,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,765658.3009455734,-229989.9613104023
99,Themire,Tradição Inciso Ponteada/Arauquinoide,900_AD,1700_AD,,,,,,,,950495.1022232831,484348.5049389844
